train_auc:               precision    recall  f1-score   support

           0       1.00      0.97      0.99       141
           1       1.00      0.95      0.97       285
           2       1.00      1.00      1.00       151
           3       0.92      0.97      0.94      1963
           4       1.00      0.97      0.98       468
           5       0.90      0.96      0.93      1731
           6       0.97      0.90      0.93      1059
           7       0.99      0.84      0.91       882

   micro avg       0.94      0.94      0.94      6680
   macro avg       0.97      0.95      0.96      6680
weighted avg       0.94      0.94      0.94      6680

test_auc:               precision    recall  f1-score   support

           0       0.00      0.00      0.00        29
           1       0.24      0.06      0.10        65
           2       0.07      0.03      0.04        39
           3       0.47      0.67      0.55       487
           4       0.30      0.37      0.33        92
           5       0.44      0.54      0.48       469
           6       0.28      0.17      0.21       271
           7       0.17      0.08      0.11       218

   micro avg       0.41      0.41      0.41      1670
   macro avg       0.25      0.24      0.23      1670
weighted avg       0.36      0.41      0.37      1670

train_rho: 0.9301655533152235
test_rho: 0.16039805605251425
