train_auc:               precision    recall  f1-score   support

           0       0.89      0.96      0.93      1967
           1       0.99      0.80      0.89      1171
           2       0.88      0.95      0.91      1727
           3       0.96      0.91      0.94      1078
           4       1.00      0.97      0.98       457

   micro avg       0.92      0.92      0.92      6400
   macro avg       0.95      0.92      0.93      6400
weighted avg       0.93      0.92      0.92      6400

test_auc:               precision    recall  f1-score   support

           0       0.49      0.67      0.56       483
           1       0.22      0.11      0.15       289
           2       0.49      0.52      0.50       473
           3       0.38      0.25      0.30       252
           4       0.38      0.39      0.39       103

   micro avg       0.44      0.44      0.44      1600
   macro avg       0.39      0.39      0.38      1600
weighted avg       0.41      0.44      0.42      1600

train_rho: 0.9172053915950602
test_rho: 0.28232146335695885
